X,dist,h_index,humanmade_pass,humanmade_response,memorability,modal_response,outdoors_pass,outdoors_response,proportion_response,scaled_emotional,scaled_memory_hits,scaled_name,score_emotional,score_humanmade,score_outdoors,score_shoebox,sd_emotional,sd_humanmade,sd_outdoors,sd_shoebox,shoebox_pass,shoebox_response,stimulus,unique,newname
211.0,0.09947107765312646,2.858118463097969,1.0,human-made,0.0295487909984138,oven mitt,1.0,indoors,0.3684210526315789,0.473413379073756,0.5930165998855179,0.7044025157232704,-0.145733313632524,1.0,0.12,0.857142857142857,0.45467854468207897,0.0,0.33166247903553997,0.3779644730092271,1.0,smaller than a shoebox,Mitt_Oven.jpg,1.0,A/A0.jpg
1103.0,0.13595713198583223,2.9667340921686924,0.0,,0.06622741328099062,melon,0.0,,0.3055555555555556,0.48827901658090295,0.7263880938752146,0.7512864493996569,-0.127291956236098,0.222222222222222,0.625,0.7142857142857142,1.06139872445973,0.440958551844098,0.517549169506766,0.48795003647426705,0.0,,Honeydew_yellow.jpg,0.0,A/A1.jpg
1062.0,0.16044846278857952,2.94770277922009,1.0,human-made,0.0701248771156536,checker board,1.0,indoors,0.2222222222222222,0.5465980560320179,0.7435603892386949,0.7455688965122927,-0.0363951963136207,1.0,0.0,0.125,0.855081244255937,0.0,0.0,0.353553390593274,1.0,larger than a shoebox,Boardgame_Checkers.jpg,1.0,A/A2.jpg
1111.0,0.16294998144849068,2.8855130303998817,1.0,human-made,-0.004744030590201449,napkin,1.0,indoors,0.2777777777777778,0.48599199542595795,0.4585002862049227,0.7204116638078902,-0.129930997313483,1.0,0.0,0.7142857142857142,0.601219302358141,0.0,0.0,0.48795003647426705,0.0,,KitchenCloth.jpg,0.0,A/A3.jpg
1387.0,0.18064452795461788,3.5572958738405696,1.0,human-made,0.02601324713162708,scrunchie,1.0,indoors,0.3428571428571429,0.362492853058891,0.5832856325128792,0.915951972555746,-0.27104309582248604,1.0,0.0,1.0,0.8314018229999139,0.0,0.0,0.0,1.0,smaller than a shoebox,HairScrunchie.jpg,1.0,A/A4.jpg
1094.0,0.1938088000210839,2.9672103113389783,1.0,human-made,0.07022102300021478,checkered flags,1.0,outdoors,0.28,0.620926243567753,0.7447052089295936,0.7552887364208118,0.0769756093437798,1.0,1.0,0.375,1.02922834326591,0.0,0.0,0.517549169506766,0.0,,Flags_CheckeredRacing.jpg,1.0,A/A5.jpg
257.0,0.20496042025757896,3.927451224964519,0.0,,0.014079886740387288,rock,1.0,indoors,0.16666666666666666,0.578616352201258,0.5317687464224384,0.9765580331618068,0.010066375017063,0.444444444444444,0.0,0.8888888888888891,0.862502562989645,0.52704627669473,0.0,0.33333333333333304,1.0,smaller than a shoebox,Rock_Mimetite.jpg,0.0,A/A6.jpg
286.0,0.21671589839711203,2.816340113853408,1.0,natural,0.08041478618870011,pumpkin,0.0,,0.2777777777777778,0.473413379073756,0.7842014882655982,0.6889651229273871,-0.145733313632524,0.0,0.8,0.5714285714285711,0.45467854468207897,0.0,0.4472135954999579,0.534522483824849,0.0,,Squash_Pumpkin.jpg,0.0,A/A7.jpg
62.0,0.22921099908421705,3.413833863973601,1.0,human-made,0.09207039806452944,propane tank,1.0,indoors,0.2777777777777778,0.465980560320183,0.8116771608471666,0.8810748999428245,-0.153232524971493,1.0,0.166666666666667,0.125,0.604020112456342,0.0,0.40824829046386296,0.353553390593274,1.0,larger than a shoebox,Cannister_Gas.jpg,1.0,A/A8.jpg
875.0,0.23072334548907825,3.169925001442312,1.0,human-made,-0.018982350591727943,cleaner,1.0,indoors,0.2222222222222222,0.6077758719268149,0.3961076130509445,0.8067467124070897,0.0603118951344185,1.0,0.0,0.875,0.703901153423723,0.0,0.0,0.353553390593274,1.0,smaller than a shoebox,Spraybottle.jpg,1.0,A/A9.jpg
