"","stimpergroup","mean","group","CI_upper","CI_lower"
"114",57,1.78594669495644,"Software",NA,NA
"115",58,1.28819486944059,"Random",1.29131042099581,1.28507931788537
"116",58,1.75558451804127,"Software",NA,NA
"117",59,1.28533407909925,"Random",1.28832634938446,1.28234180881403
"118",59,1.75276255259993,"Software",NA,NA
"119",60,1.28809549794917,"Random",1.29096787296468,1.28522312293366
"120",60,1.73597779113255,"Software",NA,NA
"121",61,1.29005995412667,"Random",1.29272516344412,1.28739474480922
"122",61,1.71041457872897,"Software",NA,NA
"123",62,1.29247435950988,"Random",1.29519994981299,1.28974876920677
"124",62,1.72857764393238,"Software",NA,NA
"125",63,1.29268333344586,"Random",1.29520593000378,1.29016073688795
"126",63,1.71914254629107,"Software",NA,NA
"127",64,1.29205650756005,"Random",1.29465741500428,1.28945560011581
"128",64,1.71804438757167,"Software",NA,NA
"129",65,1.29494842582104,"Random",1.29734200007121,1.29255485157087
"130",65,1.74439624973898,"Software",NA,NA
"131",66,1.29458074779036,"Random",1.29685202496128,1.29230947061943
"132",66,1.73575320911214,"Software",NA,NA
"133",67,1.29460964839264,"Random",1.29684601656785,1.29237328021742
"134",67,1.73235564606571,"Software",NA,NA
"135",68,1.29575507674116,"Random",1.29792837062388,1.29358178285843
"136",68,1.73305598692854,"Software",NA,NA
"137",69,1.29774072282797,"Random",1.29972790551443,1.2957535401415
"138",69,1.75701926905292,"Software",NA,NA
"139",70,1.29660611781665,"Random",1.29850301240746,1.29470922322583
"140",70,1.78864428736846,"Software",NA,NA
"141",71,1.29608907119296,"Random",1.29789047841788,1.29428766396803
"142",71,1.7561022413395,"Software",NA,NA
"143",72,1.29817312723278,"Random",1.29982721943666,1.2965190350289
"144",72,1.74568810628912,"Software",NA,NA
"145",73,1.29928505070636,"Random",1.30088645619748,1.29768364521525
"146",73,1.73536066959175,"Software",NA,NA
"147",74,1.29960775954165,"Random",1.30100281704508,1.29821270203823
"148",74,1.73208103617136,"Software",NA,NA
"149",75,1.29972286475625,"Random",1.30101203318646,1.29843369632604
"150",75,1.72650630914548,"Software",NA,NA
"151",76,1.30055216070951,"Random",1.30170829006912,1.29939603134989
"152",76,1.70072218008699,"Software",NA,NA
"153",77,1.30107564330051,"Random",1.30207607046351,1.30007521613751
"154",77,1.68658048345841,"Software",NA,NA
"155",78,1.3018747903163,"Random",1.30268482923111,1.30106475140148
"156",78,1.70430970841829,"Software",NA,NA
"157",79,1.30317041037703,"Random",1.30374894018268,1.30259188057138
"158",79,1.70146006639065,"Software",NA,NA
"159",80,1.30309699073417,"Random",1.30309699073417,1.30309699073417
"160",80,1.70146006639065,"Software",NA,NA
