"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","trialduration","trialtimeout","response","correct","latency","stimulusnumber1","stimulusitem1","stimulusonset1","stimulusnumber2","stimulusitem2","stimulusonset2"
"022420","15:15:19","32","32","5.0.14.0","2","1","trial1","naming","0","0","0","0","apple","0","3335","1","White_Screen.jpg","35","30","Cherry.jpg","35"
"022420","15:15:19","32","32","5.0.14.0","2","2","trial1","naming","0","0","0","0","milkshake","0","4641","1","White_Screen.jpg","0","3","Milkshake_Chocolate.jpg","0"
"022420","15:15:19","32","32","5.0.14.0","2","3","trial1","naming","0","0","0","0","steering wheel","0","4170","1","White_Screen.jpg","1","51","Wheel_Steering.jpg","1"
"022420","15:15:19","32","32","5.0.14.0","2","4","trial1","naming","0","0","0","0","candelabra","0","4364","1","White_Screen.jpg","1","71","LumiereBeautyBeast.jpg","1"
"022420","15:15:19","32","32","5.0.14.0","2","5","trial1","naming","0","0","0","0","keg","0","2396","1","White_Screen.jpg","2","145","Keg.jpg","2"
"022420","15:15:19","32","32","5.0.14.0","2","6","trial1","naming","0","0","0","0","mat","0","4708","1","White_Screen.jpg","0","136","DVDPlayer.jpg","0"
"022420","15:15:19","32","32","5.0.14.0","2","7","trial1","naming","0","0","0","0","shears","0","3542","1","White_Screen.jpg","2","43","HedgeShears.jpg","2"
"022420","15:15:19","32","32","5.0.14.0","2","8","trial1","naming","0","0","0","0","drumset","0","3265","1","White_Screen.jpg","2","72","Drum_Set.jpg","2"
"022420","15:15:19","32","32","5.0.14.0","2","9","trial1","naming","0","0","0","0","skateb","0","10000","1","White_Screen.jpg","2","125","Snowboard.jpg","2"
"022420","15:15:19","32","32","5.0.14.0","2","10","trial1","naming","0","0","0","0","onion","0","3171","1","White_Screen.jpg","0","148","OnionRed.jpg","0"
"022420","15:15:19","32","32","5.0.14.0","2","11","trial1","naming","0","0","0","0","press","0","4877","1","White_Screen.jpg","3","98","Embosser.jpg","3"
"022420","15:15:19","32","32","5.0.14.0","2","12","trial1","naming","0","0","0","0","muffin","0","4844","1","White_Screen.jpg","1","27","Bread_Melon.jpg","1"
"022420","15:15:19","32","32","5.0.14.0","2","13","trial1","naming","0","0","0","0","truck","0","3438","1","White_Screen.jpg","1","57","Truck_Army.jpg","1"
"022420","15:15:19","32","32","5.0.14.0","2","14","trial1","naming","0","0","0","0","purse","0","2605","1","White_Screen.jpg","1","187","Bag_Doctor.jpg","1"
"022420","15:15:19","32","32","5.0.14.0","2","15","trial1","naming","0","0","0","0","lighter","0","5385","1","White_Screen.jpg","0","79","FlintIgniter.jpg","0"
"022420","15:15:19","32","32","5.0.14.0","2","16","trial1","naming","0","0","0","0","thermostat","0","4984","1","White_Screen.jpg","5","73","Thermostat_Digital.jpg","5"
"022420","15:15:19","32","32","5.0.14.0","2","17","trial1","naming","0","0","0","0","shoe","0","2156","1","White_Screen.jpg","1","76","Shoe_Men.jpg","1"
"022420","15:15:19","32","32","5.0.14.0","2","18","trial1","naming","0","0","0","0","atv","0","2720","1","White_Screen.jpg","1","157","AllTerrain.jpg","1"
"022420","15:15:19","32","32","5.0.14.0","2","19","trial1","naming","0","0","0","0","frying pan","0","3536","1","White_Screen.jpg","2","70","PanCooking.jpg","2"
"022420","15:15:19","32","32","5.0.14.0","2","20","trial1","naming","0","0","0","0","milkshake","0","3205","1","White_Screen.jpg","1","34","Milkshake_Strawberry.jpg","1"
"022420","15:15:19","32","32","5.0.14.0","2","21","trial1","naming","0","0","0","0","dog","0","2126","1","White_Screen.jpg","2","135","Dog_CockerSpaniel.jpg","2"
"022420","15:15:19","32","32","5.0.14.0","2","22","trial1","naming","0","0","0","0","bellows","0","2826","1","White_Screen.jpg","1","42","Bellows.jpg","1"
"022420","15:15:19","32","32","5.0.14.0","2","23","trial1","naming","0","0","0","0","makeup","0","4389","1","White_Screen.jpg","3","16","Makeup_Compact.jpg","3"
"022420","15:15:19","32","32","5.0.14.0","2","24","trial1","naming","0","0","0","0","abacus","0","2683","1","White_Screen.jpg","2","56","Abacus.jpg","2"
"022420","15:15:19","32","32","5.0.14.0","2","25","trial1","naming","0","0","0","0","lips","0","1876","1","White_Screen.jpg","0","92","Lips_Real.jpg","0"
"022420","15:15:19","32","32","5.0.14.0","2","26","trial1","naming","0","0","0","0","bone","0","3178","1","White_Screen.jpg","2","183","DogToy.jpg","2"
"022420","15:15:19","32","32","5.0.14.0","2","27","trial1","naming","0","0","0","0","milkshake","0","3467","1","White_Screen.jpg","1","104","Milkshake_StrawberryStraw.jpg","1"
"022420","15:15:19","32","32","5.0.14.0","2","28","trial1","naming","0","0","0","0","cornucopia","0","3819","1","White_Screen.jpg","1","25","Cornucopia.jpg","1"
"022420","15:15:19","32","32","5.0.14.0","2","29","trial1","naming","0","0","0","0","olives","0","3271","1","White_Screen.jpg","3","13","Olives.jpg","3"
"022420","15:15:19","32","32","5.0.14.0","2","30","trial1","naming","0","0","0","0","beret","0","2773","1","White_Screen.jpg","0","11","Hat_Beret.jpg","0"
"022420","15:15:19","32","32","5.0.14.0","2","31","trial1","naming","0","0","0","0","toaster","0","2486","1","White_Screen.jpg","1","139","Toaster_MetalSleek.jpg","1"
"022420","15:15:19","32","32","5.0.14.0","2","32","trial1","naming","0","0","0","0","doorbell","0","7058","1","White_Screen.jpg","3","185","CarLighter.jpg","3"
"022420","15:15:19","32","32","5.0.14.0","2","33","trial1","naming","0","0","0","0","handset","0","6078","1","White_Screen.jpg","2","143","Phone_Military.jpg","2"
"022420","15:15:19","32","32","5.0.14.0","2","34","trial1","naming","0","0","0","0","rake","0","4172","1","White_Screen.jpg","1","130","Toy_SandRake.jpg","1"
"022420","15:15:19","32","32","5.0.14.0","2","35","trial1","naming","0","0","0","0","dishcloth","0","3432","1","White_Screen.jpg","0","82","KitchenCloth.jpg","0"
"022420","15:15:19","32","32","5.0.14.0","2","36","trial1","naming","0","0","0","0","bar","0","1930","1","White_Screen.jpg","0","100","AlcoholBar.jpg","0"
"022420","15:15:19","32","32","5.0.14.0","2","37","trial1","naming","0","0","0","0","concrete block","0","4972","1","White_Screen.jpg","1","128","CinderBlock.jpg","1"
"022420","15:15:19","32","32","5.0.14.0","2","38","trial1","naming","0","0","0","0","frog","0","2187","1","White_Screen.jpg","0","1","Toad.jpg","0"
"022420","15:15:19","32","32","5.0.14.0","2","39","trial1","naming","0","0","0","0","mail","0","2008","1","White_Screen.jpg","0","153","LetterMail.jpg","0"
"022420","15:15:19","32","32","5.0.14.0","2","40","trial1","naming","0","0","0","0","blender","0","2452","1","White_Screen.jpg","2","23","Mixer_Hand.jpg","2"
"022420","15:15:19","32","32","5.0.14.0","2","41","trial1","naming","0","0","0","0","switch","0","9091","1","White_Screen.jpg","0","78","TelephoneJack.jpg","0"
"022420","15:15:19","32","32","5.0.14.0","2","42","trial1","naming","0","0","0","0","zester","0","3562","1","White_Screen.jpg","2","129","Cheesegrater_Handheld.jpg","2"
"022420","15:15:19","32","32","5.0.14.0","2","43","trial1","naming","0","0","0","0","seesaw","0","3556","1","White_Screen.jpg","2","106","Toy_SeeSaw.jpg","2"
"022420","15:15:19","32","32","5.0.14.0","2","44","trial1","naming","0","0","0","0","dice","0","2871","1","White_Screen.jpg","0","99","Tetrahedron.jpg","0"
