"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","trialduration","trialtimeout","response","correct","latency","stimulusnumber1","stimulusitem1","stimulusonset1","stimulusnumber2","stimulusitem2","stimulusonset2"
"070519","15:44:37","1","1","5.0.14.0","2","1","trial1","naming","0","0","0","0","cracker","0","4993","1","White_Screen.jpg","34","51","Toast.jpg","34"
"070519","15:44:37","1","1","5.0.14.0","2","2","trial1","naming","0","0","0","0","ladybug","0","2389","1","White_Screen.jpg","17","163","Ladybug.jpg","17"
"070519","15:44:37","1","1","5.0.14.0","2","3","trial1","naming","0","0","0","0","Ctrl+'Q'","1","5379","1","White_Screen.jpg","18","8","Defribrillator.jpg","18"
"070819","11:07:32","2","2","5.0.14.0","2","1","trial1","naming","0","0","0","0","bib","0","3613","1","White_Screen.jpg","50","126","Bib.jpg","50"
"070819","11:07:32","2","2","5.0.14.0","2","2","trial1","naming","0","0","0","0","pencil case","0","2722","1","White_Screen.jpg","18","75","PencilCase.jpg","18"
"070819","11:07:32","2","2","5.0.14.0","2","3","trial1","naming","0","0","0","0","cone","0","1731","1","White_Screen.jpg","18","197","IceCreamCone.jpg","18"
"070819","11:07:32","2","2","5.0.14.0","2","4","trial1","naming","0","0","0","0","knee","0","3195","1","White_Screen.jpg","18","181","Knee.jpg","18"
"070819","11:07:32","2","2","5.0.14.0","2","5","trial1","naming","0","0","0","0","jeans","0","1823","1","White_Screen.jpg","19","42","Pants_Jeans.jpg","19"
"070819","11:07:32","2","2","5.0.14.0","2","6","trial1","naming","0","0","0","0","gem","0","2308","1","White_Screen.jpg","18","24","Quartz.jpg","18"
"070819","11:07:32","2","2","5.0.14.0","2","7","trial1","naming","0","0","0","0","flip flop","0","2677","1","White_Screen.jpg","18","158","FlipFlop_SingleRed.jpg","18"
"070819","11:07:32","2","2","5.0.14.0","2","8","trial1","naming","0","0","0","0","Ctrl+'Q'","1","3006","1","White_Screen.jpg","18","118","Toy_Lighthouse.jpg","18"
"070819","08:39:02","9","9","5.0.14.0","2","1","trial1","naming","0","0","0","0","arch","0","3761","1","White_Screen.jpg","33","166","Arch_Triomphe.jpg","33"
"070819","08:39:02","9","9","5.0.14.0","2","2","trial1","naming","0","0","0","0","milk bottle","0","3677","1","White_Screen.jpg","5","194","Bottle_Baby.jpg","5"
"070819","08:39:02","9","9","5.0.14.0","2","3","trial1","naming","0","0","0","0","pitcher","0","2537","1","White_Screen.jpg","4","44","Pitcher.jpg","4"
"070819","08:39:02","9","9","5.0.14.0","2","4","trial1","naming","0","0","0","0","musical instrument","0","6671","1","White_Screen.jpg","0","93","Instrument_African.jpg","0"
"070819","08:39:02","9","9","5.0.14.0","2","5","trial1","naming","0","0","0","0","walker","0","2242","1","White_Screen.jpg","0","125","Walker_Silver.jpg","0"
"070819","08:39:02","9","9","5.0.14.0","2","6","trial1","naming","0","0","0","0","flipflop","0","3449","1","White_Screen.jpg","4","158","FlipFlop_SingleRed.jpg","4"
"070819","08:39:02","9","9","5.0.14.0","2","7","trial1","naming","0","0","0","0","knee","0","2138","1","White_Screen.jpg","4","181","Knee.jpg","4"
"070819","08:39:02","9","9","5.0.14.0","2","8","trial1","naming","0","0","0","0","doorway","0","2571","1","White_Screen.jpg","4","123","Door_Green.jpg","4"
"070819","08:39:02","9","9","5.0.14.0","2","9","trial1","naming","0","0","0","0","wallet","0","2040","1","White_Screen.jpg","4","11","Wallet_ClosedBrown.jpg","4"
"070819","08:39:02","9","9","5.0.14.0","2","10","trial1","naming","0","0","0","0","scissors","0","2872","1","White_Screen.jpg","0","52","Scissors.jpg","0"
"070819","08:39:02","9","9","5.0.14.0","2","11","trial1","naming","0","0","0","0","bucket","0","2911","1","White_Screen.jpg","5","170","Bucket_WoodenLight.jpg","5"
"070819","08:39:02","9","9","5.0.14.0","2","12","trial1","naming","0","0","0","0","trailer","0","2241","1","White_Screen.jpg","-3","15","BoxTrailer.jpg","-3"
"070819","08:39:02","9","9","5.0.14.0","2","13","trial1","naming","0","0","0","0","luggage tag","0","3361","1","White_Screen.jpg","0","31","Tag_Identifier.jpg","0"
"070819","08:39:02","9","9","5.0.14.0","2","14","trial1","naming","0","0","0","0","cocktail","0","3112","1","White_Screen.jpg","4","20","Drink_Cocktail.jpg","4"
"070819","08:39:02","9","9","5.0.14.0","2","15","trial1","naming","0","0","0","0","lanten","0","3900","1","White_Screen.jpg","5","12","Lantern_Chinese.jpg","5"
"070819","08:39:02","9","9","5.0.14.0","2","16","trial1","naming","0","0","0","0","perfume","0","2999","1","White_Screen.jpg","0","87","Perfume.jpg","0"
"070819","08:39:02","9","9","5.0.14.0","2","17","trial1","naming","0","0","0","0","knee pads","0","4169","1","White_Screen.jpg","4","33","ShinPads.jpg","4"
"070819","08:39:02","9","9","5.0.14.0","2","18","trial1","naming","0","0","0","0","gold ball","0","3031","1","White_Screen.jpg","-1","104","Ball_Golf.jpg","-1"
"070819","08:39:02","9","9","5.0.14.0","2","19","trial1","naming","0","0","0","0","shopping cart","0","3305","1","White_Screen.jpg","2","63","ShoppingCart.jpg","2"
"070819","08:39:02","9","9","5.0.14.0","2","20","trial1","naming","0","0","0","0","gloves","0","2370","1","White_Screen.jpg","4","70","Gloves_Bicycle.jpg","4"
"070819","08:39:02","9","9","5.0.14.0","2","21","trial1","naming","0","0","0","0","party things","0","5729","1","White_Screen.jpg","4","184","Noisemaker_Streamers.jpg","4"
"070819","08:39:02","9","9","5.0.14.0","2","22","trial1","naming","0","0","0","0","suspenders","0","4373","1","White_Screen.jpg","-2","176","Suspenders.jpg","-2"
"070819","08:39:02","9","9","5.0.14.0","2","23","trial1","naming","0","0","0","0","slow cooker","0","4391","1","White_Screen.jpg","4","139","RiceCooker.jpg","4"
"070819","08:39:02","9","9","5.0.14.0","2","24","trial1","naming","0","0","0","0","puppet show","0","4531","1","White_Screen.jpg","4","71","PuppetTheatre_WhiteGold.jpg","4"
"070819","08:39:02","9","9","5.0.14.0","2","25","trial1","naming","0","0","0","0","pack n play","0","5307","1","White_Screen.jpg","4","146","Playard.jpg","4"
"070819","08:39:02","9","9","5.0.14.0","2","26","trial1","naming","0","0","0","0","peg","0","1713","1","White_Screen.jpg","4","136","Clothespin_Beige.jpg","4"
"070819","08:39:02","9","9","5.0.14.0","2","27","trial1","naming","0","0","0","0","crystal","0","3575","1","White_Screen.jpg","0","24","Quartz.jpg","0"
"070819","08:39:02","9","9","5.0.14.0","2","28","trial1","naming","0","0","0","0","fence","0","3171","1","White_Screen.jpg","4","129","Fence_ChainLink.jpg","4"
"070819","08:39:02","9","9","5.0.14.0","2","29","trial1","naming","0","0","0","0","chicken","0","3029","1","White_Screen.jpg","4","189","Toy_Chicken.jpg","4"
"070819","08:39:02","9","9","5.0.14.0","2","30","trial1","naming","0","0","0","0","eye looker","0","4792","1","White_Screen.jpg","4","96","EyeExamDevice.jpg","4"
"070819","08:39:02","9","9","5.0.14.0","2","31","trial1","naming","0","0","0","0","cheque","0","2979","1","White_Screen.jpg","0","6","Cheque.jpg","0"
"070819","08:39:02","9","9","5.0.14.0","2","32","trial1","naming","0","0","0","0","cracker","0","2670","1","White_Screen.jpg","-1","172","Cracker_Saltine.jpg","-1"
"070819","08:39:02","9","9","5.0.14.0","2","33","trial1","naming","0","0","0","0","sugar pot","0","3915","1","White_Screen.jpg","-2","135","Bowl_Sugar.jpg","-2"
"070819","08:39:02","9","9","5.0.14.0","2","34","trial1","naming","0","0","0","0","twig","0","1972","1","White_Screen.jpg","-2","111","Branch.jpg","-2"
"070819","08:39:02","9","9","5.0.14.0","2","35","trial1","naming","0","0","0","0","crusset","0","5357","1","White_Screen.jpg","-1","186","Pot_Crock.jpg","-1"
"070819","08:39:02","9","9","5.0.14.0","2","36","trial1","naming","0","0","0","0","bookshelf","0","3013","1","White_Screen.jpg","-3","171","BookShelf.jpg","-3"
"070819","08:39:02","9","9","5.0.14.0","2","37","trial1","naming","0","0","0","0","taco","0","2024","1","White_Screen.jpg","-2","177","Taco.jpg","-2"
"070819","08:39:02","9","9","5.0.14.0","2","38","trial1","naming","0","0","0","0","basketball","0","2583","1","White_Screen.jpg","4","152","BasketballHoop.jpg","4"
"070819","08:39:02","9","9","5.0.14.0","2","39","trial1","naming","0","0","0","0","game ","0","3201","1","White_Screen.jpg","-2","106","Book_Paper.jpg","-2"
"070819","08:39:02","9","9","5.0.14.0","2","40","trial1","naming","0","0","0","0","guord","0","4805","1","White_Screen.jpg","4","180","ShakerShekere.jpg","4"
"070819","08:39:02","9","9","5.0.14.0","2","41","trial1","naming","0","0","0","0","construction sign","0","4990","1","White_Screen.jpg","5","105","Sign_Construction.jpg","5"
"070819","08:39:02","9","9","5.0.14.0","2","42","trial1","naming","0","0","0","0","oil can","0","3422","1","White_Screen.jpg","4","62","Can_OilSpout.jpg","4"
"070819","08:39:02","9","9","5.0.14.0","2","43","trial1","naming","0","0","0","0","projector screen","0","5122","1","White_Screen.jpg","-2","192","ProjectorScreen.jpg","-2"
