"date","time","group","subject","build","blocknum","trialnum","blockcode","trialcode","pretrialpause","posttrialpause","trialduration","trialtimeout","response","correct","latency","stimulusnumber1","stimulusitem1","stimulusonset1","stimulusnumber2","stimulusitem2","stimulusonset2"
"080819","14:41:39","4","4","5.0.14.0","2","1","trial1","naming","0","0","0","0","knife","0","2424","1","White_Screen.jpg","52","154","Knife_Butter.jpg","52"
"080819","14:41:39","4","4","5.0.14.0","2","2","trial1","naming","0","0","0","0","baby doll","0","4501","1","White_Screen.jpg","17","132","Toy_Babydoll.jpg","17"
"080819","14:41:39","4","4","5.0.14.0","2","3","trial1","naming","0","0","0","0","fork","0","2437","1","White_Screen.jpg","18","37","Fork_Regular.jpg","18"
"080819","14:41:39","4","4","5.0.14.0","2","4","trial1","naming","0","0","0","0","Ctrl+'Q'","1","1825","1","White_Screen.jpg","19","14","Case_WoodenOrnate.jpg","19"
"080819","14:44:43","5","5","5.0.14.0","2","1","trial1","naming","0","0","0","0","bomb","0","3093","1","White_Screen.jpg","52","1","Bomb.jpg","52"
"080819","14:44:43","5","5","5.0.14.0","2","2","trial1","naming","0","0","0","0","Ctrl+'Q'","1","2807","1","White_Screen.jpg","19","188","Sign_Caution.jpg","19"
"080819","14:50:47","8","8","5.0.14.0","2","1","trial1","naming","0","0","0","0","ambulance","0","9902","1","White_Screen.jpg","55","65","Ambulance.jpg","55"
"080819","14:50:47","8","8","5.0.14.0","2","2","trial1","naming","0","0","0","0","blocks","0","7811","1","White_Screen.jpg","3","77","Toy_StackingRing.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","3","trial1","naming","0","0","0","0","seashell","0","8332","1","White_Screen.jpg","4","2","Fossil.jpg","4"
"080819","14:50:47","8","8","5.0.14.0","2","4","trial1","naming","0","0","0","0","whist","0","10000","1","White_Screen.jpg","3","149","RecorderInstrument.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","5","trial1","naming","0","0","0","0","mask","0","5545","1","White_Screen.jpg","3","173","Mask_Masquerade.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","6","trial1","naming","0","0","0","0","boots","0","4788","1","White_Screen.jpg","3","143","Shoes_Snowboarding.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","7","trial1","naming","0","0","0","0","leaf blower","0","4580","1","White_Screen.jpg","4","12","LeafBlower.jpg","4"
"080819","14:50:47","8","8","5.0.14.0","2","8","trial1","naming","0","0","0","0","cup","0","3373","1","White_Screen.jpg","3","34","Cup_Styrofoam.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","9","trial1","naming","0","0","0","0","salsa","0","5105","1","White_Screen.jpg","4","110","Jar_Strawberry.jpg","4"
"080819","14:50:47","8","8","5.0.14.0","2","10","trial1","naming","0","0","0","0","hawk","0","4235","1","White_Screen.jpg","4","72","Bird_Falcon.jpg","4"
"080819","14:50:47","8","8","5.0.14.0","2","11","trial1","naming","0","0","0","0","sneaker","0","4015","1","White_Screen.jpg","3","197","Shoe_Sneaker.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","12","trial1","naming","0","0","0","0","coffee grinder","0","5728","1","White_Screen.jpg","3","38","ProcessorFood_Old.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","13","trial1","naming","0","0","0","0","coffee cup","0","4465","1","White_Screen.jpg","3","33","Mug_Travel.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","14","trial1","naming","0","0","0","0","water fountain","0","3827","1","White_Screen.jpg","3","127","WaterFountain.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","15","trial1","naming","0","0","0","0","boom box","0","3494","1","White_Screen.jpg","3","158","Boombox.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","16","trial1","naming","0","0","0","0","blocks","0","5421","1","White_Screen.jpg","4","35","Toy_BlocksLetter.jpg","4"
"080819","14:50:47","8","8","5.0.14.0","2","17","trial1","naming","0","0","0","0","ladle","0","4370","1","White_Screen.jpg","3","159","Ladle.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","18","trial1","naming","0","0","0","0","bread","0","3102","1","White_Screen.jpg","3","138","Bread_Carrot.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","19","trial1","naming","0","0","0","0","sign","0","3340","1","White_Screen.jpg","2","188","Sign_Caution.jpg","2"
"080819","14:50:47","8","8","5.0.14.0","2","20","trial1","naming","0","0","0","0","racetrack","0","4683","1","White_Screen.jpg","3","129","Toy_RaceTrack.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","21","trial1","naming","0","0","0","0","chocolates","0","3947","1","White_Screen.jpg","3","58","Box_Chocolate.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","22","trial1","naming","0","0","0","0","knife","0","4235","1","White_Screen.jpg","3","81","Knife_Kitchen.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","23","trial1","naming","0","0","0","0","register","0","3804","1","White_Screen.jpg","5","103","AirVent.jpg","5"
"080819","14:50:47","8","8","5.0.14.0","2","24","trial1","naming","0","0","0","0","lawnmower","0","7174","1","White_Screen.jpg","3","41","LawnMower.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","25","trial1","naming","0","0","0","0","flower","0","5224","1","White_Screen.jpg","3","144","Flower_Crane.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","26","trial1","naming","0","0","0","0","furniture","0","8475","1","White_Screen.jpg","3","20","Altar.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","27","trial1","naming","0","0","0","0","dish drainer","0","5295","1","White_Screen.jpg","3","5","DryRack_Dishes.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","28","trial1","naming","0","0","0","0","helicopter","0","5633","1","White_Screen.jpg","3","109","Toy_Helicopter.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","29","trial1","naming","0","0","0","0","horse","0","6435","1","White_Screen.jpg","3","53","Toy_RockingHorseBlack.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","30","trial1","naming","0","0","0","0","rug","0","3721","1","White_Screen.jpg","4","22","Mat_Door.jpg","4"
"080819","14:50:47","8","8","5.0.14.0","2","31","trial1","naming","0","0","0","0","keyring","0","6515","1","White_Screen.jpg","3","36","KeyHook_Empty.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","32","trial1","naming","0","0","0","0","truck","0","5285","1","White_Screen.jpg","3","17","PickupTruck.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","33","trial1","naming","0","0","0","0","Enter Name","0","960","1","White_Screen.jpg","4","132","Toy_Babydoll.jpg","4"
"080819","14:50:47","8","8","5.0.14.0","2","34","trial1","naming","0","0","0","0","boot","0","3413","1","White_Screen.jpg","3","29","Shoes_WomenBoots.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","35","trial1","naming","0","0","0","0","squash","0","3775","1","White_Screen.jpg","4","71","Squash_Pumpkin.jpg","4"
"080819","14:50:47","8","8","5.0.14.0","2","36","trial1","naming","0","0","0","0","tape","0","3083","1","White_Screen.jpg","4","146","Tape_Scotch.jpg","4"
"080819","14:50:47","8","8","5.0.14.0","2","37","trial1","naming","0","0","0","0","sculpture","0","5564","1","White_Screen.jpg","3","121","SculptureMetalFish.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","38","trial1","naming","0","0","0","0","bottle","0","3505","1","White_Screen.jpg","3","30","Bottle_Plastic.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","39","trial1","naming","0","0","0","0","gift","0","4707","1","White_Screen.jpg","3","79","Box_GiftTopView.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","40","trial1","naming","0","0","0","0","perfume","0","6655","1","White_Screen.jpg","3","155","Cologne.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","41","trial1","naming","0","0","0","0","timer","0","3688","1","White_Screen.jpg","3","15","TimerKitchen.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","42","trial1","naming","0","0","0","0","fork","0","2775","1","White_Screen.jpg","3","37","Fork_Regular.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","43","trial1","naming","0","0","0","0","watch gears","0","4848","1","White_Screen.jpg","3","172","Clock_Interior.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","44","trial1","naming","0","0","0","0","head lamp","0","5121","1","White_Screen.jpg","4","90","FlashlightHeadBand.jpg","4"
"080819","14:50:47","8","8","5.0.14.0","2","45","trial1","naming","0","0","0","0","street light","0","5745","1","White_Screen.jpg","2","13","LampPost_WhiteOrnate.jpg","2"
"080819","14:50:47","8","8","5.0.14.0","2","46","trial1","naming","0","0","0","0","socks","0","3079","1","White_Screen.jpg","3","162","Socks_Winter.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","47","trial1","naming","0","0","0","0","gloves","0","3456","1","White_Screen.jpg","3","63","Gloves_Winter.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","48","trial1","naming","0","0","0","0","bolt","0","3568","1","White_Screen.jpg","3","48","Bolt_WithNut.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","49","trial1","naming","0","0","0","0","conference table","0","4333","1","White_Screen.jpg","3","27","Table_Conference.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","50","trial1","naming","0","0","0","0","caliper","0","4393","1","White_Screen.jpg","3","55","Ruler_Digital.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","52","trial1","naming","0","0","0","0","ruler","0","4917","1","White_Screen.jpg","3","126","Ruler_Wooden.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","53","trial1","naming","0","0","0","0","carrot","0","4319","1","White_Screen.jpg","3","95","Carrot.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","54","trial1","naming","0","0","0","0","hairband","0","3725","1","White_Screen.jpg","2","24","HairBand.jpg","2"
"080819","14:50:47","8","8","5.0.14.0","2","55","trial1","naming","0","0","0","0","strainer","0","4654","1","White_Screen.jpg","3","116","Sieve_SideView.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","56","trial1","naming","0","0","0","0","kangaroo","0","6907","1","White_Screen.jpg","3","44","Kangaroo.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","57","trial1","naming","0","0","0","0","oyster","0","3638","1","White_Screen.jpg","4","108","Oyster.jpg","4"
"080819","14:50:47","8","8","5.0.14.0","2","58","trial1","naming","0","0","0","0","beanie","0","3881","1","White_Screen.jpg","4","190","Hat_Tuque.jpg","4"
"080819","14:50:47","8","8","5.0.14.0","2","59","trial1","naming","0","0","0","0","bus","0","5745","1","White_Screen.jpg","3","122","Bus_DoubleDecker.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","60","trial1","naming","0","0","0","0","jet","0","4078","1","White_Screen.jpg","2","161","Jet.jpg","2"
"080819","14:50:47","8","8","5.0.14.0","2","61","trial1","naming","0","0","0","0","speaker","0","4087","1","White_Screen.jpg","3","176","Speakers_Theatre.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","62","trial1","naming","0","0","0","0","slinky","0","4517","1","White_Screen.jpg","3","96","Toy_Slinky.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","63","trial1","naming","0","0","0","0","mouthguard","0","6458","1","White_Screen.jpg","3","171","TeethMould.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","64","trial1","naming","0","0","0","0","toy","0","7256","1","White_Screen.jpg","3","47","Toy_Shapesorter.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","65","trial1","naming","0","0","0","0","goat","0","4097","1","White_Screen.jpg","3","26","RamAnimal.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","66","trial1","naming","0","0","0","0","beer","0","2897","1","White_Screen.jpg","3","184","Glass_Beer.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","67","trial1","naming","0","0","0","0","cantalope","0","5313","1","White_Screen.jpg","3","142","Cantaloupe.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","68","trial1","naming","0","0","0","0","sledgehammer","0","8924","1","White_Screen.jpg","3","74","SledgeHammer.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","69","trial1","naming","0","0","0","0","washi tape","0","4513","1","White_Screen.jpg","3","135","Tape_Washi.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","70","trial1","naming","0","0","0","0","callbox","0","6990","1","White_Screen.jpg","10","62","ControlPanel.jpg","10"
"080819","14:50:47","8","8","5.0.14.0","2","71","trial1","naming","0","0","0","0","net","0","3336","1","White_Screen.jpg","3","43","NetButterfly.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","72","trial1","naming","0","0","0","0","nail","0","3764","1","White_Screen.jpg","3","75","Nail.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","73","trial1","naming","0","0","0","0","lychee","0","5261","1","White_Screen.jpg","3","42","Lychee.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","74","trial1","naming","0","0","0","0","electrical box","0","8269","1","White_Screen.jpg","3","19","ElectricSwitchboard.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","75","trial1","naming","0","0","0","0","temple","0","4257","1","White_Screen.jpg","3","124","BuildingChinese.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","76","trial1","naming","0","0","0","0","coliseum","0","6101","1","White_Screen.jpg","3","181","Colosseum.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","77","trial1","naming","0","0","0","0","pumpkin","0","10000","1","White_Screen.jpg","9","167","Pumpkin.jpg","9"
"080819","14:50:47","8","8","5.0.14.0","2","78","trial1","naming","0","0","0","0","Enter Name","0","137","1","White_Screen.jpg","3","130","Clock_Wall.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","79","trial1","naming","0","0","0","0","comb","0","4695","1","White_Screen.jpg","5","98","Comb_1.jpg","5"
"080819","14:50:47","8","8","5.0.14.0","2","80","trial1","naming","0","0","0","0","harmonica","0","4282","1","White_Screen.jpg","3","46","Harmonica.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","81","trial1","naming","0","0","0","0","metal detector","0","5360","1","White_Screen.jpg","5","165","MetalDetector.jpg","5"
"080819","14:50:47","8","8","5.0.14.0","2","82","trial1","naming","0","0","0","0","wire","0","3743","1","White_Screen.jpg","3","100","Wire_Soldering.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","83","trial1","naming","0","0","0","0","donald duck","0","4774","1","White_Screen.jpg","3","134","DonaldDuck_Toy.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","84","trial1","naming","0","0","0","0","headphones","0","4533","1","White_Screen.jpg","3","150","Headphones.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","85","trial1","naming","0","0","0","0","cannon","0","3697","1","White_Screen.jpg","3","199","Cannon.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","86","trial1","naming","0","0","0","0","bread","0","3412","1","White_Screen.jpg","4","39","Basket_Bread.jpg","4"
"080819","14:50:47","8","8","5.0.14.0","2","87","trial1","naming","0","0","0","0","speaker","0","5529","1","White_Screen.jpg","3","92","Hockey_Puck.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","88","trial1","naming","0","0","0","0","camera","0","3740","1","White_Screen.jpg","3","114","Camera_Digital.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","89","trial1","naming","0","0","0","0","licorice","0","4618","1","White_Screen.jpg","3","18","Licorice.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","90","trial1","naming","0","0","0","0","juicebox","0","5432","1","White_Screen.jpg","3","186","JuiceBox.jpg","3"
"080819","14:50:47","8","8","5.0.14.0","2","91","trial1","naming","0","0","0","0","cassette tape","0","6864","1","White_Screen.jpg","4","152","Cassette_Audio.jpg","4"
"080819","14:50:47","8","8","5.0.14.0","2","92","trial1","naming","0","0","0","0","paper holder","0","4932","1","White_Screen.jpg","10","105","MemoPaperSpike.jpg","10"
"080819","14:50:47","8","8","5.0.14.0","2","93","trial1","naming","0","0","0","0","airplane","0","4342","1","White_Screen.jpg","3","133","Airplane_Commercial.jpg","3"
